,Year_Rank,Title,Worldwide_Gross,Domestic,Percent_Domestic,Foreign,Percent_Foreign,Year,Domestic Distributor,Domestic Opening,Budget,Earliest Release Date,MPAA,Running Time,Genres,"
                        IMDbPro
                    "
460,462,Premier Boxing Champions: PBC on FOX: Spence vs. Porter,"$232,973","$232,973",100%,-,-,2019,"Fathom EventsSee full company information

","$232,973",,"September 28, 2019
            (Domestic)",,,Sport,"See more details at IMDbPro

"
461,463,DAZN Boxing: Canelo Alvarez vs. Daniel Jacobs,"$230,703","$230,703",100%,-,-,2019,"Fathom EventsSee full company information

","$230,703",,"May 4, 2019
            (Domestic)",,,Sport,"See more details at IMDbPro

"
462,464,Ophelia,"$229,405","$50,722",22.1%,"$178,683",77.9%,2019,"IFC FilmsSee full company information

","$22,145",,"June 28, 2019
            (Domestic)",PG-13,1 hr 54 min,"Drama
    
        History
    
        Romance
    
        Thriller
    
        War","See more details at IMDbPro

"
463,465,The Last Tree,"$228,676","$10,128",4.4%,"$218,548",95.6%,2019,"ArtMattan ProductionsSee full company information

","$2,424",,"September 27, 2019
            (United Kingdom)",,1 hr 38 min,Drama,"See more details at IMDbPro

"
464,466,Mine 9,"$226,421","$226,421",100%,-,-,2019,Emphatic Cinema/Levey,"$68,921",,"April 12, 2019
            (Domestic)",Not Rated,1 hr 23 min,"Drama
    
        Thriller","See more details at IMDbPro

"
465,467,Millennium Actress 2019 Re-release,"$225,250","$225,250",100%,-,-,2019,Go Fish Pictures,"$18,732",,"September 12, 2003
            (Domestic)",PG,1 hr 27 min,"Animation
    
        Drama
    
        Fantasy
    
        Romance","See more details at IMDbPro

"
466,468,Extra Ordinary,"$223,898","$164,346",73.4%,"$59,552",26.6%,2019,"Good Deed EntertainmentSee full company information

","$82,543",,"September 13, 2019
            (United Kingdom)",R,1 hr 34 min,"Comedy
    
        Fantasy
    
        Horror","See more details at IMDbPro

"
467,469,Premier Boxing Champions: PBC on FOX PPV: Pacquiao vs. Thurman,"$223,858","$223,858",100%,-,-,2019,"Fathom EventsSee full company information

","$223,858",,"July 20, 2019
            (Domestic)",,,Sport,"See more details at IMDbPro

"
468,470,Never Surrender: A Galaxy Quest Documentary,"$222,971","$222,971",100%,-,-,2019,"Fathom EventsSee full company information

",,,"November 26, 2019
            (Domestic)",,1 hr 35 min,Documentary,"See more details at IMDbPro

"
469,471,The Karate Kid 2019 Re-release,"$215,447","$215,447",100%,-,-,2019,"Columbia PicturesSee full company information

","$5,031,753",,"June 22, 1984
            (Domestic)",,2 hr 6 min,"Action
    
        Drama
    
        Family
    
        Sport","See more details at IMDbPro

"
470,472,Hamlet 2019 Re-release,"$214,578","$214,578",100%,-,-,2019,,,,"October 15, 2015
            (Russia/CIS)",,3 hr 37 min,Drama,"See more details at IMDbPro

"
471,473,Tigers Are Not Afraid 2019 Re-release,"$210,138","$175,559",83.5%,"$34,579",16.5%,2019,,,,"November 3, 2017
            (Mexico)",,1 hr 23 min,"Fantasy
    
        Horror
    
        Mystery","See more details at IMDbPro

"
472,474,"Faith, Hope & Love","$210,091","$210,091",100%,-,-,2019,"ArtAffects EntertainmentSee full company information

","$55,403",,"March 15, 2019
            (Domestic)",PG,1 hr 46 min,"Comedy
    
        Romance","See more details at IMDbPro

"
473,475,Kathy Griffin: A Hell of a Story,"$208,907","$208,907",100%,-,-,2019,"Fathom EventsSee full company information

",,,"July 31, 2019
            (Domestic)",,1 hr 46 min,"Comedy
    
        Documentary","See more details at IMDbPro

"
474,476,Batman 2019 Re-release,"$207,901","$159,419",76.7%,"$48,482",23.3%,2019,"Warner Bros.See full company information

","$40,489,746","$35,000,000","June 23, 1989
            (Domestic)",,2 hr 6 min,"Action
    
        Adventure","See more details at IMDbPro

"
475,477,The Iron Orchard,"$204,881","$204,881",100%,-,-,2019,Santa Rita Film Co,"$45,863",,"February 22, 2019
            (Domestic)",R,1 hr 58 min,"Drama
    
        History
    
        Romance","See more details at IMDbPro

"
476,478,Working Woman,"$204,727","$64,048",31.3%,"$140,679",68.7%,2019,"Zeitgeist FilmsSee full company information

","$3,875",,"March 27, 2019
            (Domestic)",,1 hr 33 min,Drama,"See more details at IMDbPro

"
477,479,Hesburgh,"$204,709","$204,709",100%,-,-,2019,"Music Box FilmsSee full company information

","$17,009",,"April 26, 2019
            (Domestic)",Not Rated,1 hr 46 min,Documentary,"See more details at IMDbPro

"
478,480,Blink of an Eye,"$201,874","$201,874",100%,-,-,2019,"Fathom EventsSee full company information

",,,"September 12, 2019
            (Domestic)",,1 hr 28 min,Documentary,"See more details at IMDbPro

"
479,481,Zombi Child,"$200,909","$25,878",12.9%,"$175,031",87.1%,2019,"Film MovementSee full company information

","$6,051",,"June 12, 2019
            (France)",,1 hr 43 min,Fantasy,"See more details at IMDbPro

"
480,483,The Warrior Queen of Jhansi,"$198,100","$177,289",89.5%,"$20,811",10.5%,2019,"Roadside AttractionsSee full company information

","$112,208",,"November 15, 2019
            (Domestic)",R,1 hr 42 min,"Action
    
        Adventure
    
        Drama
    
        Fantasy
    
        War","See more details at IMDbPro

"
481,484,Little Joe,"$196,960","$23,862",12.1%,"$173,098",87.9%,2019,"Magnolia PicturesSee full company information

","$10,626",,"November 13, 2019
            (France)",,1 hr 45 min,"Drama
    
        Horror
    
        Mystery
    
        Sci-Fi","See more details at IMDbPro

"
482,485,Family,"$194,601","$194,601",100%,-,-,2019,"The Film ArcadeSee full company information

","$19,586",,"April 19, 2019
            (Domestic)",R,1 hr 25 min,Comedy,"See more details at IMDbPro

"
483,486,Mr. Klein,"$193,028","$193,028",100%,-,-,2019,"Rialto PicturesSee full company information

","$15,915",,"September 6, 2019
            (Domestic)",,2 hr 3 min,"Crime
    
        Drama
    
        Mystery
    
        Thriller
    
        War","See more details at IMDbPro

"
484,487,The Divine Plan,"$190,031","$190,031",100%,-,-,2019,"Fathom EventsSee full company information

",,,"November 6, 2019
            (Domestic)",,1 hr 45 min,Documentary,"See more details at IMDbPro

"
485,488,Buñuel in the Labyrinth of the Turtles,"$185,675","$36,205",19.5%,"$149,470",80.5%,2019,"GKIDSSee full company information

","$5,691",,"April 26, 2019
            (Spain)",,1 hr 20 min,"Animation
    
        Biography
    
        Drama
    
        History","See more details at IMDbPro

"
486,489,To Dust,"$184,495","$184,495",100%,-,-,2019,"Good Deed EntertainmentSee full company information

","$8,496",,"February 8, 2019
            (Domestic)",R,1 hr 45 min,"Comedy
    
        Drama","See more details at IMDbPro

"
487,490,The River and the Wall,"$183,602","$183,602",100%,-,-,2019,"Gravitas VenturesSee full company information

","$57,504",,"May 3, 2019
            (Domestic)",,1 hr 37 min,"Adventure
    
        Documentary","See more details at IMDbPro

"
488,491,Giant Little Ones,"$181,507","$181,507",100%,-,-,2019,"Vertical EntertainmentSee full company information

","$13,042",,"March 1, 2019
            (Domestic)",R,1 hr 33 min,Drama,"See more details at IMDbPro

"
489,492,Raymonda: Bolshoi Ballet,"$181,361","$181,361",100%,-,-,2019,"Fathom EventsSee full company information

","$181,361",,"October 27, 2019
            (Domestic)",,2 hr 26 min,Music,"See more details at IMDbPro

"
490,493,Bolshoi Ballet: Raymonda domestic,"$181,361","$181,361",100%,-,-,2019,,,,"October 25, 2019
            (United Kingdom)",,,,"See more details at IMDbPro

"
491,494,Rafiki,"$181,316","$137,968",76.1%,"$43,348",23.9%,2019,"Film MovementSee full company information

","$16,016",,"April 19, 2019
            (Domestic)",,1 hr 23 min,"Drama
    
        Romance","See more details at IMDbPro

"
492,495,Walking on Water,"$178,119","$102,140",57.3%,"$75,979",42.7%,2019,"Kino LorberSee full company information

","$10,654",,"May 17, 2019
            (Domestic)",,1 hr 45 min,"Adventure
    
        Comedy
    
        Documentary
    
        History","See more details at IMDbPro

"
493,496,Modest Heroes,"$178,027","$178,027",100%,-,-,2019,"Fathom EventsSee full company information

","$178,027",,"January 10, 2019
            (Domestic)",PG,53 min,"Adventure
    
        Animation
    
        Family
    
        Fantasy","See more details at IMDbPro

"
494,497,"Iyengar: The Man, Yoga, and the Student's Journey","$176,387","$176,387",100%,-,-,2019,"Kino LorberSee full company information

","$9,248",,"April 12, 2019
            (Domestic)",,1 hr 47 min,Documentary,"See more details at IMDbPro

"
495,498,Them That Follow,"$172,952","$159,218",92.1%,"$13,734",7.9%,2019,"1091 MediaSee full company information

","$13,137",,"August 2, 2019
            (Domestic)",R,1 hr 38 min,"Drama
    
        Thriller","See more details at IMDbPro

"
496,499,Little Woods,"$171,912","$150,010",87.3%,"$21,902",12.7%,2019,"NeonSee full company information

","$57,610",,"April 19, 2019
            (Domestic)",R,1 hr 45 min,"Crime
    
        Drama
    
        Western","See more details at IMDbPro

"
497,500,Palau the Movie,"$171,155","$134,696",78.7%,"$36,459",21.3%,2019,"Trafalgar ReleasingSee full company information

",,,"March 29, 2019
            (Domestic)",,2 hr,"Biography
    
        Drama","See more details at IMDbPro

"
498,501,Britt-Marie Was Here,"$168,862","$36,549",21.6%,"$132,313",78.4%,2019,"Cohen Media GroupSee full company information

","$4,090",,"March 7, 2019
            (Russia/CIS)",,1 hr 37 min,"Comedy
    
        Drama
    
        Sport","See more details at IMDbPro

"
499,502,Bright Ones,"$165,627","$165,627",100%,-,-,2019,"Fathom EventsSee full company information

","$165,627",,"April 22, 2019
            (Domestic)",PG,1 hr 22 min,Musical,"See more details at IMDbPro

"
500,503,The Chambermaid,"$164,531","$86,422",52.5%,"$78,109",47.5%,2019,"Kino LorberSee full company information

","$5,490",,"June 28, 2019
            (Domestic)",,1 hr 42 min,Drama,"See more details at IMDbPro

"
501,504,Halston,"$163,446","$151,991",93%,"$11,455",7%,2019,"The OrchardSee full company information

","$11,643",,"May 24, 2019
            (Domestic)",Not Rated,1 hr 45 min,"Biography
    
        Documentary","See more details at IMDbPro

"
502,505,"Diana Ross: Her Life, Love and Legacy","$160,968","$160,968",100%,-,-,2019,"Fathom EventsSee full company information

",,,"March 26, 2019
            (Domestic)",,2 hr 40 min,,"See more details at IMDbPro

"
503,506,The Body,"$159,317","$68,196",42.8%,"$91,121",57.2%,2019,"Eros InternationalSee full company information

","$45,996",,"December 12, 2019
            (United Arab Emirates)",,1 hr 41 min,"Mystery
    
        Thriller","See more details at IMDbPro

"
504,507,Money,"$155,732","$155,732",100%,-,-,2019,"CJ EntertainmentSee full company information

",,,"March 21, 2019
            (Domestic)",,1 hr 55 min,"Crime
    
        Drama","See more details at IMDbPro

"
505,508,Before You Know It,"$151,507","$151,507",100%,-,-,2019,"1091 MediaSee full company information

","$23,086",,"August 30, 2019
            (Domestic)",,1 hr 38 min,"Comedy
    
        Drama","See more details at IMDbPro

"
506,509,Jay Myself,"$151,331","$151,331",100%,-,-,2019,"OscilloscopeSee full company information

","$18,909",,"July 31, 2019
            (Domestic)",,1 hr 19 min,"Biography
    
        Documentary","See more details at IMDbPro

"
507,510,Glory 2019 Re-release,"$150,801","$150,801",100%,-,-,2019,"TriStar PicturesSee full company information

","$63,661",,"December 14, 1989
            (Domestic)",,2 hr 2 min,"Biography
    
        Drama
    
        History
    
        War","See more details at IMDbPro

"
508,511,Piercing,"$149,211","$15,856",10.6%,"$133,355",89.4%,2019,"Greenwich EntertainmentSee full company information

","$8,752",,"January 3, 2019
            (Russia/CIS)",R,1 hr 21 min,"Horror
    
        Mystery
    
        Thriller","See more details at IMDbPro

"
509,512,The Kingmaker,"$148,611","$122,587",82.5%,"$26,024",17.5%,2019,"Greenwich EntertainmentSee full company information

","$19,523",,"November 8, 2019
            (Domestic)",R,1 hr 41 min,"Biography
    
        Documentary
    
        History","See more details at IMDbPro

"
510,513,Trial by Fire,"$148,504","$148,504",100%,-,-,2019,"Roadside AttractionsSee full company information

","$78,817",,"May 17, 2019
            (Domestic)",R,2 hr 7 min,"Biography
    
        Drama","See more details at IMDbPro

"
511,514,War and Peace,"$148,503","$148,503",100%,-,-,2019,"Janus FilmsSee full company information

","$22,976",,"February 15, 2019
            (Domestic)",,7 hr 2 min,"Drama
    
        History
    
        Romance
    
        War","See more details at IMDbPro

"
512,515,Driven,"$147,172",-,-,"$147,172",100%,2019,"Variance FilmsSee full company information

",,,"August 16, 2019
            (Domestic)",R,1 hr 53 min,"Biography
    
        Drama
    
        Thriller","See more details at IMDbPro

"
513,516,Citizen K,"$145,941","$120,411",82.5%,"$25,530",17.5%,2019,"Greenwich EntertainmentSee full company information

","$10,571",,"November 7, 2019
            (New Zealand)",,2 hr 6 min,Documentary,"See more details at IMDbPro

"
514,517,Framing John DeLorean,"$145,625","$145,625",100%,-,-,2019,"IFC FilmsSee full company information

","$6,991",,"June 7, 2019
            (Domestic)",,1 hr 49 min,"Biography
    
        Documentary
    
        Drama","See more details at IMDbPro

"
515,519,Branagh Theatre Live: The Winter's Tale,"$141,143","$141,143",100%,-,-,2019,"Trafalgar ReleasingSee full company information

","$34,380",,"December 4, 2019
            (Domestic)",,3 hr,Drama,"See more details at IMDbPro

"
516,520,Canelo vs. Kovalev,"$140,820","$140,820",100%,-,-,2019,"Fathom EventsSee full company information

","$140,820",,"November 2, 2019
            (Domestic)",,,,"See more details at IMDbPro

"
517,521,The Cordillera of Dreams,"$140,465","$20,943",14.9%,"$119,522",85.1%,2019,"Icarus FilmsSee full company information

","$4,446",,"October 30, 2019
            (France)",,1 hr 24 min,Documentary,"See more details at IMDbPro

"
518,522,Wilder vs. Ortiz,"$139,207","$139,207",100%,-,-,2019,"Fathom EventsSee full company information

","$139,207",,"November 23, 2019
            (Domestic)",,4 hr 30 min,Sport,"See more details at IMDbPro

"
519,523,Who Will Write Our History,"$138,868","$138,039",99.4%,$829,0.6%,2019,"AbramoramaSee full company information

","$13,390",,"January 18, 2019
            (Domestic)",,1 hr 35 min,"Documentary
    
        History","See more details at IMDbPro

"
520,524,Lynryd Skynyrd: Last of the Street Survivors Farewell Tour,"$137,888","$137,888",100%,-,-,2019,"Fathom EventsSee full company information

",,,"November 7, 2019
            (Domestic)",,1 hr 50 min,Music,"See more details at IMDbPro

"
521,525,Sonchiriya,"$135,413","$86,765",64.1%,"$48,648",35.9%,2019,PackYourBag Films,"$60,170",,"February 28, 2019
            (EMEA, APAC)",,2 hr 23 min,"Action
    
        Crime
    
        Drama","See more details at IMDbPro

"
522,526,The Other Story,"$135,191","$135,191",100%,-,-,2019,"Strand ReleasingSee full company information

","$14,163",,"June 28, 2019
            (Domestic)",,1 hr 52 min,Drama,"See more details at IMDbPro

"
523,527,Made in Abyss: Journey's Dawn,"$134,194","$134,047",99.9%,$147,0.1%,2019,"Fathom EventsSee full company information

",,,"March 20, 2019
            (APAC, Domestic)",,1 hr 59 min,"Adventure
    
        Animation
    
        Family
    
        Fantasy
    
        Mystery
    
        Sci-Fi","See more details at IMDbPro

"
