,Year_Rank,Title,Worldwide_Gross,Domestic,Percent_Domestic,Foreign,Percent_Foreign,Year,Domestic Distributor,Domestic Opening,Earliest Release Date,MPAA,Running Time,Genres,"
280,281,The Oscar Nominated Short Films 2018: Live Action,"$3,511,123","$3,508,777",99.9%,"$2,346",<0.1%,2018,"Shorts InternationalSee full company information

","$695,044","February 9, 2018
            (Domestic)",,1 hr 36 min,"Action
    
        Drama","See more details at IMDbPro

",
281,282,Great Performances at the Met: Puccini: Tosca,"$3,473,616","$2,023,749",58.3%,"$1,449,867",41.7%,2018,"Fathom EventsSee full company information

","$1,498,309","January 27, 2018
            (Domestic, EMEA)",,2 hr 30 min,Musical,"See more details at IMDbPro

",
282,283,Racetime,"$3,439,053","$1,875,283",54.5%,"$1,563,770",45.5%,2018,"Entertainment OneSee full company information

","$271,061","December 7, 2018
            (Domestic)",PG,1 hr 29 min,"Adventure
    
        Animation
    
        Musical","See more details at IMDbPro

",
283,284,The Rider,"$3,434,963","$2,419,031",70.4%,"$1,015,932",29.6%,2018,"Sony Pictures ClassicsSee full company information

","$42,244","March 28, 2018
            (France)",R,1 hr 44 min,"Drama
    
        Western","See more details at IMDbPro

",
284,285,Patrick the Pug,"$3,369,468","$6,290",0.2%,"$3,363,178",99.8%,2018,Independent,"$1,378","June 29, 2018
            (United Kingdom)",,1 hr 34 min,"Comedy
    
        Family
    
        Romance","See more details at IMDbPro

",
285,286,On Chesil Beach,"$3,335,913","$745,971",22.4%,"$2,589,942",77.6%,2018,"Bleecker Street MediaSee full company information

","$35,765","May 18, 2018
            (EMEA, Domestic)",R,1 hr 50 min,"Drama
    
        Music
    
        Romance","See more details at IMDbPro

",
286,287,Breath,"$3,322,479","$37,108",1.1%,"$3,285,371",98.9%,2018,"FilmRiseSee full company information

","$5,258","May 3, 2018
            (Australia)",,1 hr 55 min,"Drama
    
        Romance
    
        Sport","See more details at IMDbPro

",
287,288,Wildlife,"$3,321,367","$1,050,616",31.6%,"$2,270,751",68.4%,2018,"IFC FilmsSee full company information

","$104,589","October 18, 2018
            (Russia/CIS)",PG-13,1 hr 45 min,Drama,"See more details at IMDbPro

",
288,289,Bharath Ane Nenu,"$3,276,257","$2,663,090",81.3%,"$613,167",18.7%,2018,"Great India FilmsSee full company information

","$2,663,090","April 19, 2018
            (EMEA, APAC)",,2 hr 53 min,"Action
    
        Drama","See more details at IMDbPro

",
289,290,The Front Runner,"$3,242,235","$2,000,105",61.7%,"$1,242,130",38.3%,2018,"Sony Pictures Entertainment (SPE)See full company information

","$51,543","November 6, 2018
            (Domestic)",R,1 hr 53 min,"Biography
    
        Drama
    
        History","See more details at IMDbPro

",
290,291,Thoroughbreds,"$3,187,255","$3,072,605",96.4%,"$114,650",3.6%,2018,"Focus FeaturesSee full company information

","$1,224,430","March 9, 2018
            (Domestic)",R,1 hr 32 min,"Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

",
291,292,Tea With the Dames,"$3,181,152","$889,343",28%,"$2,291,809",72%,2018,"IFC FilmsSee full company information

","$14,777","April 27, 2018
            (United Kingdom)",,1 hr 24 min,Documentary,"See more details at IMDbPro

",
292,293,Made for More,"$2,999,134","$2,999,134",100%,-,-,2018,"Fathom EventsSee full company information

",,"August 2, 2018
            (Domestic)",,2 hr,Documentary,"See more details at IMDbPro

",
293,294,Memoir of War,"$2,980,982","$103,636",3.5%,"$2,877,346",96.5%,2018,"Music Box FilmsSee full company information

","$11,653","January 24, 2018
            (France)",,2 hr 7 min,Drama,"See more details at IMDbPro

",
294,295,God Bless the Broken Road,"$2,848,233","$2,846,257",99.9%,"$1,976",<0.1%,2018,"Freestyle ReleasingSee full company information

","$1,386,254","September 7, 2018
            (Domestic)",PG,1 hr 51 min,"Drama
    
        Family
    
        Romance","See more details at IMDbPro

",
295,296,A Breath Away,"$2,842,040","$77,987",2.7%,"$2,764,053",97.3%,2018,"Entertainment OneSee full company information

","$16,046","April 4, 2018
            (France)",,1 hr 29 min,"Drama
    
        Mystery
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

",
296,297,McQueen,"$2,739,246","$1,257,275",45.9%,"$1,481,971",54.1%,2018,"Bleecker Street MediaSee full company information

","$98,873","June 8, 2018
            (EMEA)",R,1 hr 51 min,"Biography
    
        Documentary","See more details at IMDbPro

",
297,298,Edie,"$2,731,170","$71,790",2.6%,"$2,659,380",97.4%,2018,"Music Box FilmsSee full company information

","$8,801","May 24, 2018
            (Australia)",,1 hr 42 min,"Adventure
    
        Drama","See more details at IMDbPro

",
298,299,Billionaire Boys Club,"$2,713,955","$1,349",<0.1%,"$2,712,606",100%,2018,"Vertical EntertainmentSee full company information

",,"July 18, 2018
            (Philippines)",R,1 hr 48 min,"Biography
    
        Drama
    
        Thriller","See more details at IMDbPro

",
299,300,The Happy Prince,"$2,621,992","$466,440",17.8%,"$2,155,552",82.2%,2018,"Sony Pictures ClassicsSee full company information

","$38,886","April 12, 2018
            (Italy)",R,1 hr 45 min,"Biography
    
        Drama","See more details at IMDbPro

",
300,301,The Little Mermaid,"$2,610,742","$147,175",5.6%,"$2,463,567",94.4%,2018,"Conglomerate MediaSee full company information

","$85,505","August 2, 2018
            (Portugal)",PG,1 hr 25 min,"Adventure
    
        Drama
    
        Fantasy
    
        Romance","See more details at IMDbPro

",
301,302,Zero,"$2,595,762","$1,035,388",39.9%,"$1,560,374",60.1%,2018,"Yash Raj FilmsSee full company information

","$1,035,388","December 20, 2018
            (United Arab Emirates)",,2 hr 44 min,"Comedy
    
        Drama
    
        Romance","See more details at IMDbPro

",
302,303,Leo Da Vinci: Mission Mona Lisa,"$2,588,859","$19,978",0.8%,"$2,568,881",99.2%,2018,"Ammo ContentSee full company information

","$19,978","January 11, 2018
            (Italy)",,1 hr 25 min,"Adventure
    
        Animation
    
        Family","See more details at IMDbPro

",
303,304,Assassination Nation,"$2,584,988","$2,005,142",77.6%,"$579,846",22.4%,2018,"NeonSee full company information

","$1,050,021","September 21, 2018
            (Domestic)",R,1 hr 48 min,"Action
    
        Comedy
    
        Crime
    
        Drama
    
        Horror
    
        Thriller","See more details at IMDbPro

",
304,305,Maquia: When the Promised Flower Blooms 2018 Re-release,"$2,569,927","$18,539",0.7%,"$2,551,388",99.3%,2018,"Eleven ArtsSee full company information

","$71,472","February 24, 2018
            (Japan)",,1 hr 55 min,"Adventure
    
        Animation
    
        Drama
    
        Family
    
        Fantasy
    
        Romance","See more details at IMDbPro

",
305,306,Birds of Passage,"$2,517,405","$507,259",20.2%,"$2,010,146",79.8%,2018,"The OrchardSee full company information

","$23,082","August 2, 2018
            (Colombia)",,2 hr 5 min,"Crime
    
        Drama","See more details at IMDbPro

",
306,307,"One Nation, One King","$2,481,681","$6,576",0.3%,"$2,475,105",99.7%,2018,"Distrib FilmsSee full company information

",$595,"September 26, 2018
            (France)",,2 hr 1 min,"Drama
    
        History","See more details at IMDbPro

",
307,308,Lean on Pete,"$2,443,584","$1,163,056",47.6%,"$1,280,528",52.4%,2018,"A24See full company information

","$46,975","April 5, 2018
            (Italy)",R,2 hr 1 min,Drama,"See more details at IMDbPro

",
308,309,The Breadwinner 2018 Re-release,"$2,426,907",$834,<0.1%,"$2,426,073",100%,2018,"GKIDSSee full company information

","$17,395","November 17, 2017
            (Domestic)",PG-13,1 hr 34 min,"Animation
    
        Drama
    
        Family
    
        War","See more details at IMDbPro

",
309,310,Hearts Beat Loud,"$2,417,165","$2,386,251",98.7%,"$30,914",1.3%,2018,"Gunpowder & SkySee full company information

","$74,524","June 8, 2018
            (Domestic)",PG-13,1 hr 37 min,"Comedy
    
        Drama
    
        Music","See more details at IMDbPro

",
310,311,The Man Who Killed Don Quixote,"$2,390,383","$391,963",16.4%,"$1,998,420",83.6%,2018,"Screen Media FilmsSee full company information

",,"May 16, 2018
            (France)",,2 hr 12 min,"Adventure
    
        Comedy
    
        Drama
    
        Fantasy","See more details at IMDbPro

",
311,312,1991,"$2,342,264","$2,342,264",100%,-,-,2018,"Entertainment OneSee full company information

","$328,828","July 27, 2018
            (Domestic)",,2 hr 21 min,Comedy,"See more details at IMDbPro

",
312,313,The House That Jack Built 2018 Re-release,"$2,268,962","$87,993",3.9%,"$2,180,969",96.1%,2018,"IFC FilmsSee full company information

",,"January 3, 2018
            (Portugal)",R,2 hr 32 min,"Crime
    
        Drama
    
        Horror","See more details at IMDbPro

",
313,314,Puzzle,"$2,260,946","$2,032,018",89.9%,"$228,928",10.1%,2018,"Sony Pictures ClassicsSee full company information

","$61,214","July 27, 2018
            (Domestic)",R,1 hr 43 min,Drama,"See more details at IMDbPro

",
314,315,An Interview with God,"$2,251,795","$1,201,434",53.4%,"$1,050,361",46.6%,2018,"Fathom EventsSee full company information

",,"August 20, 2018
            (Domestic)",,1 hr 37 min,"Drama
    
        Mystery","See more details at IMDbPro

",
315,316,At War,"$2,235,052","$4,605",0.2%,"$2,230,447",99.8%,2018,"Cinema Libre StudioSee full company information

","$1,405","May 16, 2018
            (France)",,1 hr 53 min,Drama,"See more details at IMDbPro

",
316,317,3 Faces,"$2,191,516","$72,324",3.3%,"$2,119,192",96.7%,2018,"Kino LorberSee full company information

","$7,065","June 6, 2018
            (France)",,1 hr 40 min,"Drama
    
        History","See more details at IMDbPro

",
317,318,Maria By Callas 2018 Re-release,"$2,185,562","$1,267,301",58%,"$918,261",42%,2018,,,"December 13, 2017
            (France)",PG,1 hr 59 min,"Biography
    
        Documentary
    
        Music","See more details at IMDbPro

",
318,319,Border,"$2,177,678","$771,930",35.4%,"$1,405,748",64.6%,2018,"NeonSee full company information

","$73,700","October 19, 2018
            (EMEA)",R,1 hr 50 min,"Crime
    
        Drama
    
        Fantasy
    
        Romance
    
        Thriller","See more details at IMDbPro

",
319,320,Veere Di Wedding,"$2,176,099",-,-,"$2,176,099",100%,2018,,,"May 31, 2018
            (APAC, EMEA)",,2 hr 15 min,Comedy,"See more details at IMDbPro

",
320,321,High Life,"$2,133,033","$1,225,852",57.5%,"$907,181",42.5%,2018,"A24See full company information

","$99,341","November 7, 2018
            (France)",R,1 hr 53 min,"Adventure
    
        Drama
    
        Horror
    
        Mystery
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

",
321,322,Indian Horse,"$2,097,362","$2,097,362",100%,-,-,2018,"Elevation PicturesSee full company information

",,"April 13, 2018
            (Domestic)",,1 hr 41 min,Drama,"See more details at IMDbPro

",
322,323,Mary Shelley,"$2,096,600","$108,900",5.2%,"$1,987,700",94.8%,2018,"IFC FilmsSee full company information

","$12,570","May 10, 2018
            (Russia/CIS)",PG-13,2 hr,"Biography
    
        Drama
    
        History
    
        Romance","See more details at IMDbPro

",
323,324,Black '47,"$2,073,063","$57,520",2.8%,"$2,015,543",97.2%,2018,"IFC FilmsSee full company information

","$8,600","September 7, 2018
            (United Kingdom)",R,1 hr 40 min,"Action
    
        Drama","See more details at IMDbPro

",
324,325,Under the Silver Lake,"$2,053,469","$46,083",2.2%,"$2,007,386",97.8%,2018,"A24See full company information

","$35,270","August 8, 2018
            (France)",R,2 hr 19 min,"Crime
    
        Drama
    
        Mystery
    
        Thriller","See more details at IMDbPro

",
325,326,Raid,"$2,031,135","$1,010,385",49.7%,"$1,020,750",50.3%,2018,"Eros InternationalSee full company information

","$423,817","March 15, 2018
            (EMEA, APAC)",,2 hr 2 min,"Action
    
        Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

",
326,327,Climax,"$2,027,391","$817,339",40.3%,"$1,210,052",59.7%,2018,"A24See full company information

","$119,423","September 19, 2018
            (France)",R,1 hr 37 min,"Drama
    
        Horror
    
        Music
    
        Thriller","See more details at IMDbPro

",
327,328,Peterloo,"$1,998,945","$151,971",7.6%,"$1,846,974",92.4%,2018,"Amazon StudiosSee full company information

","$26,002","November 1, 2018
            (Greece)",PG-13,2 hr 34 min,"Drama
    
        History","See more details at IMDbPro

",
328,329,Great Performances at the Met: Verdi: La Traviata,"$1,982,588","$1,882,931",95%,"$99,657",5%,2018,"Fathom EventsSee full company information

","$1,333,159","December 15, 2018
            (Domestic)",,3 hr 25 min,Musical,"See more details at IMDbPro

",
329,330,Maquia: When the Promised Flower Blooms,"$1,963,575","$185,699",9.5%,"$1,777,876",90.5%,2018,"Eleven ArtsSee full company information

","$71,472","February 24, 2018
            (Japan)",,1 hr 55 min,"Adventure
    
        Animation
    
        Drama
    
        Family
    
        Fantasy
    
        Romance","See more details at IMDbPro

",
330,331,The House That Jack Built,"$1,933,114","$170,113",8.8%,"$1,763,001",91.2%,2018,"IFC FilmsSee full company information

",,"January 3, 2018
            (Portugal)",R,2 hr 32 min,"Crime
    
        Drama
    
        Horror","See more details at IMDbPro

",
331,332,The Pact,"$1,855,647","$2,488",0.1%,"$1,853,159",99.9%,2018,"Sony Pictures Entertainment (SPE)See full company information

","$1,453","August 17, 2018
            (Spain)",R,1 hr 46 min,"Horror
    
        Thriller","See more details at IMDbPro

",
332,333,Sweet Country,"$1,847,693","$104,297",5.6%,"$1,743,396",94.4%,2018,"The Samuel Goldwyn CompanySee full company information

","$8,895","January 25, 2018
            (Australia)",R,1 hr 53 min,"Adventure
    
        Crime
    
        Drama
    
        History
    
        Thriller
    
        Western","See more details at IMDbPro

",
333,334,Grease 2018 Re-release,"$1,827,688","$1,213,413",66.4%,"$614,275",33.6%,2018,"Paramount PicturesSee full company information

","$8,941,717","June 16, 1978
            (Domestic)",PG,1 hr 50 min,"Musical
    
        Romance","See more details at IMDbPro

","$6,000,000"
334,335,The Little Stranger,"$1,824,902","$713,143",39.1%,"$1,111,759",60.9%,2018,"Focus FeaturesSee full company information

","$401,563","August 31, 2018
            (Domestic)",R,1 hr 51 min,"Drama
    
        Horror
    
        Mystery","See more details at IMDbPro

",
335,336,The Seagull,"$1,820,461","$1,252,960",68.8%,"$567,501",31.2%,2018,"Sony Pictures ClassicsSee full company information

","$79,016","May 11, 2018
            (Domestic)",PG-13,1 hr 38 min,"Comedy
    
        Drama
    
        Romance","See more details at IMDbPro

",
336,337,Moses,"$1,807,117","$1,807,117",100%,-,-,2018,"Fathom EventsSee full company information

","$416,047","September 13, 2018
            (Domestic)",,2 hr 10 min,,"See more details at IMDbPro

",
337,338,Great Performances at the Met: Puccini: La Bohème,"$1,764,201","$1,764,201",100%,-,-,2018,"Fathom EventsSee full company information

","$1,326,339","February 24, 2018
            (Domestic)",,3 hr 7 min,Musical,"See more details at IMDbPro

",
338,339,Great Performances at the Met: Massenet: Cendrillon,"$1,747,259","$1,243,306",71.2%,"$503,953",28.8%,2018,"Fathom EventsSee full company information

","$925,752","April 28, 2018
            (Domestic, EMEA)",,,Musical,"See more details at IMDbPro

",
